activity,county,date,score,state
baking,Cook,2020-06-03 00:00:00,0.2155,Illinois
baking,Cook,2020-05-27 00:00:00,0.38727647058823533,Illinois
baking,Orange,2020-05-20 00:00:00,0.1424272727272727,Florida
baking,King,2020-05-27 00:00:00,0.430575,Washington
baking,New York,2020-06-03 00:00:00,-0.15076842105263155,New York
baking,New York,2020-05-27 00:00:00,0.06015102040816324,New York
baking,New York,2020-05-20 00:00:00,0.7376473684210526,New York
baking,Palm Beach,2020-05-20 00:00:00,0.1424272727272727,Florida
baking,Orange,2020-05-20 00:00:00,0.1424272727272727,Florida
baking,Salt Lake,2020-06-03 00:00:00,0.002857142857142828,Utah
board games,Queens,2020-05-20 00:00:00,0.9303666666666669,New York
board games,King,2020-05-20 00:00:00,0.9303666666666669,Washington
board games,Santa Clara,2020-05-20 00:00:00,0.6534199999999999,California
bowling,New York,2020-06-03 00:00:00,-0.36074230769230764,New York
bowling,New York,2020-05-27 00:00:00,0.16034193548387093,New York
bowling,New York,2020-05-20 00:00:00,0.04380769230769232,New York
bowling,Franklin,2020-05-27 00:00:00,-0.9957,Ohio
bus,Los Angeles,2020-05-27 00:00:00,-0.10503125,California
bus,Los Angeles,2020-05-20 00:00:00,-0.3139142857142857,California
bus,Cook,2020-06-03 00:00:00,0.28439411764705885,Illinois
bus,Cook,2020-05-27 00:00:00,0.08133333333333333,Illinois
bus,Cook,2020-05-20 00:00:00,-0.4423981481481482,Illinois
bus,San Diego,2020-06-03 00:00:00,0.08506363636363638,California
bus,San Diego,2020-05-27 00:00:00,0.043741304347826075,California
bus,San Diego,2020-05-20 00:00:00,-0.36102894736842117,California
bus,Dallas,2020-06-03 00:00:00,0.12895517241379306,Texas
bus,Kings,2020-06-03 00:00:00,0.18399375,New York
bus,Queens,2020-06-03 00:00:00,0.18399375,New York
bus,King,2020-06-03 00:00:00,-0.3318194444444445,Washington
bus,King,2020-05-27 00:00:00,-0.07933250000000003,Washington
bus,Clark,2020-05-27 00:00:00,-0.4787461538461538,Nevada
bus,San Bernardino,2020-06-03 00:00:00,0.08506363636363638,California
bus,San Bernardino,2020-05-27 00:00:00,0.043741304347826075,California
bus,San Bernardino,2020-05-20 00:00:00,-0.36102894736842117,California
bus,Santa Clara,2020-05-20 00:00:00,-0.4423981481481482,California
bus,Wayne,2020-05-27 00:00:00,-0.11842241379310343,Michigan
bus,New York,2020-06-03 00:00:00,0.03019122807017546,New York
bus,New York,2020-05-27 00:00:00,-0.2505402777777778,New York
bus,New York,2020-05-20 00:00:00,-0.06258640776699029,New York
bus,Philadelphia,2020-05-27 00:00:00,-0.29584615384615376,Pennsylvania
bus,Palm Beach,2020-05-27 00:00:00,-0.24547586206896552,Florida
bus,Palm Beach,2020-05-20 00:00:00,-0.22348589743589747,Florida
bus,Bronx,2020-06-03 00:00:00,0.18399375,New York
bus,Los Angeles,2020-05-27 00:00:00,-0.10503125,California
bus,Los Angeles,2020-05-20 00:00:00,-0.3139142857142857,California
bus,Cook,2020-06-03 00:00:00,0.28439411764705885,Illinois
bus,Cook,2020-05-27 00:00:00,0.08133333333333333,Illinois
bus,Cook,2020-05-20 00:00:00,-0.4423981481481482,Illinois
bus,San Diego,2020-06-03 00:00:00,0.08506363636363638,California
bus,San Diego,2020-05-27 00:00:00,0.043741304347826075,California
bus,San Diego,2020-05-20 00:00:00,-0.36102894736842117,California
bus,Dallas,2020-06-03 00:00:00,0.12895517241379306,Texas
bus,Kings,2020-06-03 00:00:00,0.18399375,New York
bus,Queens,2020-06-03 00:00:00,0.18399375,New York
bus,King,2020-06-03 00:00:00,-0.3318194444444445,Washington
bus,King,2020-05-27 00:00:00,-0.07933250000000003,Washington
bus,Clark,2020-05-27 00:00:00,-0.4787461538461538,Nevada
bus,San Bernardino,2020-06-03 00:00:00,0.08506363636363638,California
bus,San Bernardino,2020-05-27 00:00:00,0.043741304347826075,California
bus,San Bernardino,2020-05-20 00:00:00,-0.36102894736842117,California
bus,Santa Clara,2020-05-20 00:00:00,-0.4423981481481482,California
bus,Wayne,2020-05-27 00:00:00,-0.11842241379310343,Michigan
bus,New York,2020-06-03 00:00:00,0.03019122807017546,New York
bus,New York,2020-05-27 00:00:00,-0.2505402777777778,New York
bus,New York,2020-05-20 00:00:00,-0.06258640776699029,New York
bus,Philadelphia,2020-05-27 00:00:00,-0.29584615384615376,Pennsylvania
bus,Palm Beach,2020-05-27 00:00:00,-0.24547586206896552,Florida
bus,Palm Beach,2020-05-20 00:00:00,-0.22348589743589747,Florida
bus,Bronx,2020-06-03 00:00:00,0.18399375,New York
bus,Salt Lake,2020-05-27 00:00:00,-0.4925430379746838,Utah
bus,Salt Lake,2020-05-20 00:00:00,-0.31379,Utah
bus,Contra Costa,2020-05-20 00:00:00,-0.6267240740740739,California
bus,Wake,2020-06-03 00:00:00,0.04612500000000006,North Carolina
bus,Wake,2020-05-27 00:00:00,-0.010591803278688505,North Carolina
bus,Wake,2020-05-20 00:00:00,-0.6006846153846152,North Carolina
bus,Collin,2020-05-27 00:00:00,0.12403663366336617,Texas
bus,Collin,2020-05-20 00:00:00,-0.31165000000000004,Texas
bus,St. Louis,2020-06-03 00:00:00,-0.4064697674418606,Missouri
bus,St. Louis,2020-05-27 00:00:00,-0.18461827956989255,Missouri
bus,St. Louis,2020-05-20 00:00:00,-0.11506071428571431,Missouri
bus,Erie,2020-05-27 00:00:00,-0.22599545454545458,New York
bus,Prince George's,2020-06-03 00:00:00,-0.3658033898305084,Maryland
bus,Hartford,2020-05-27 00:00:00,-0.392739393939394,Connecticut
bus,San Francisco,2020-06-03 00:00:00,0.08506363636363638,California
bus,San Francisco,2020-05-27 00:00:00,0.043741304347826075,California
bus,San Francisco,2020-05-20 00:00:00,-0.36102894736842117,California
karaoke,New York,2020-06-03 00:00:00,-0.24276,New York
painting,Orange,2020-05-20 00:00:00,-0.12487142857142855,Florida
painting,King,2020-05-20 00:00:00,0.15564285714285717,Washington
painting,Clark,2020-05-27 00:00:00,0.5165625,Nevada
painting,New York,2020-06-03 00:00:00,0.6589222222222223,New York
painting,New York,2020-05-27 00:00:00,0.3599777777777778,New York
painting,New York,2020-05-20 00:00:00,0.1559,New York
painting,Orange,2020-05-20 00:00:00,-0.12487142857142855,Florida
table tennis,New York,2020-06-03 00:00:00,-0.52988,New York
taxi,San Diego,2020-05-20 00:00:00,-0.8217423728813562,California
taxi,Orange,2020-05-27 00:00:00,-0.6072200000000001,Florida
taxi,Orange,2020-05-20 00:00:00,-0.8228666666666666,Florida
taxi,San Bernardino,2020-05-20 00:00:00,-0.8217423728813562,California
taxi,New York,2020-06-03 00:00:00,-0.2629903225806452,New York
taxi,New York,2020-05-27 00:00:00,-0.5511338983050849,New York
taxi,New York,2020-05-20 00:00:00,-0.6448250000000001,New York
taxi,Orange,2020-05-27 00:00:00,-0.6072200000000001,Florida
taxi,Orange,2020-05-20 00:00:00,-0.8228666666666666,Florida
taxi,Wake,2020-05-27 00:00:00,-0.9643666666666666,North Carolina
taxi,St. Louis,2020-05-27 00:00:00,-0.844005882352941,Missouri
taxi,San Francisco,2020-05-20 00:00:00,-0.8217423728813562,California
video games,Dallas,2020-05-27 00:00:00,-0.44173999999999997,Texas
cinema,Los Angeles,2020-05-20 00:00:00,0.9992000000000001,California
cinema,San Diego,2020-05-27 00:00:00,0.1111888888888889,California
cinema,King,2020-05-20 00:00:00,-0.9109333333333333,Washington
cinema,San Bernardino,2020-05-27 00:00:00,0.1111888888888889,California
cinema,New York,2020-06-03 00:00:00,-0.3693857142857143,New York
cinema,New York,2020-05-27 00:00:00,-0.15636086956521744,New York
cinema,New York,2020-05-20 00:00:00,-0.6754928571428573,New York
cinema,Palm Beach,2020-06-03 00:00:00,-0.025187499999999974,Florida
cinema,Palm Beach,2020-05-27 00:00:00,-0.051909090909090884,Florida
cinema,Salt Lake,2020-05-27 00:00:00,0.26008947368421054,Utah
cinema,Wake,2020-05-27 00:00:00,-0.4196761904761905,North Carolina
cinema,Prince George's,2020-05-27 00:00:00,0.17985116279069768,Maryland
cinema,San Francisco,2020-05-27 00:00:00,0.1111888888888889,California
yoga,Los Angeles,2020-05-20 00:00:00,0.41727333333333344,California
yoga,King,2020-05-27 00:00:00,0.04675499999999998,Washington
yoga,Santa Clara,2020-05-27 00:00:00,0.04675499999999998,California
yoga,Wayne,2020-05-27 00:00:00,0.3224666666666667,Michigan
yoga,New York,2020-06-03 00:00:00,0.3752491228070177,New York
yoga,New York,2020-05-27 00:00:00,0.4041379310344827,New York
yoga,New York,2020-05-20 00:00:00,0.5054216666666665,New York
yoga,Palm Beach,2020-06-03 00:00:00,0.32313,Florida
yoga,Palm Beach,2020-05-20 00:00:00,0.5203358208955223,Florida
yoga,Salt Lake,2020-05-20 00:00:00,0.1656210526315789,Utah
yoga,Wake,2020-06-03 00:00:00,0.2488962962962964,North Carolina
yoga,Wake,2020-05-20 00:00:00,0.4840218181818182,North Carolina
yoga,St. Louis,2020-05-27 00:00:00,-0.4003125,Missouri
yoga,Prince George's,2020-06-03 00:00:00,0.4485869565217392,Maryland
zumba,New York,2020-05-20 00:00:00,-0.19786,New York
baseball,Los Angeles,2020-05-27 00:00:00,-0.2105,California
baseball,Los Angeles,2020-05-20 00:00:00,0.26286363636363635,California
